osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
3886035288,,,906,49.0034687,13.3409899,,,bayern-260721
1891356995,Abtsrodaer Kuppe,,905,50.5041867,9.9382299,Q334624,,hessen-260721
11641945298,Dienersberg,,905,47.3946194,10.2892306,Q30623320,,bayern-260721
600495150,Eschenbühl,,905,47.7469613,10.928399,,,bayern-260721
4573583038,Goldebühl,,905,47.7541089,8.1625397,,,baden-wuerttemberg
1980049980,Heuberg,,905,48.2810008,8.9891303,Q30746275,,baden-wuerttemberg
448016997,Kahleberg,,905,50.7486953,13.7309282,Q1720762,,sachsen-260721
702260979,Kappelbichl,,905,47.6242235,11.0399631,,,bayern-260721
11360747838,Käpfle,,905,47.6841777,10.0981993,Q131261917,,baden-wuerttemberg
4104404191,Rainenberg,,905,47.5927227,11.079253,,,bayern-260721
6808629937,,,905,47.8625287,8.3253101,,,baden-wuerttemberg
12305135493,,,905,47.55971,10.67874,,,bayern-260721
10270396790,Baneck,,904,48.0580998,8.8125001,,,baden-wuerttemberg
6449540124,Hammerköpfle,,904,47.9919321,8.3208427,,,baden-wuerttemberg
10032043125,Hornenberg,,904,47.9359136,8.6791388,,,baden-wuerttemberg
13409231086,Oberer Berg,,904,48.304878,9.0760381,Q137796351,,baden-wuerttemberg
8381778849,Schützenberg,,904,50.7005556,10.7052778,Q1221536,de:Schützenberg (Thüringer Wald),thueringen-260721
2995445589,Auer Berg,,903,47.7596951,12.7019815,,,bayern-260721
11374525318,Berg,,903,48.0275137,8.7551962,,,baden-wuerttemberg
5095185114,Faulenberg,,903,47.6206209,10.6992613,Q30758800,,bayern-260721
473507869,Hocheck,,903,47.7715997,11.9763754,Q31559271,,bayern-260721
12215044522,Ludwigstein,,903,48.9249498,13.3123954,,,bayern-260721
4571693360,Riegelhalde,,903,47.6538148,8.0212811,,,baden-wuerttemberg
12361475820,Rotenberg,,903,48.9349898,13.4387684,,,bayern-260721
5077578470,Steinbühl,,903,47.654334,8.0038398,,,baden-wuerttemberg
3595999220,,,903,49.2322616,13.0561218,,,bayern-260721
11352083887,,,903,47.6260626,10.0638843,,,bayern-260721
3215534522,Köbele,,902,48.352529,9.1203447,Q31533857,,baden-wuerttemberg
5086565959,Reiseck,,902,49.3286097,12.785832,Q31566951,,bayern-260721
3542244597,Schafbühl,,902,47.6622595,8.0311199,,,baden-wuerttemberg
391489626,Stirnberg,,902,50.4913601,10.039333,Q2350355,,bayern-260721
6391892239,,,902,48.1977249,8.1447712,,,baden-wuerttemberg
11478543805,,,902,47.6748193,10.1251351,,,baden-wuerttemberg
13409231090,,,902,48.3030569,9.0825014,,,baden-wuerttemberg
1280463891,,,902,47.6338515,11.5334153,,,bayern-260721
12456398645,,,902,47.5677746,9.8437714,Q136008932,,bayern-260721
12571176920,,,902,47.5552715,9.9522212,,,bayern-260721
3927667314,,,902,51.7746371,10.4865975,,,niedersachsen-260721
3927667316,,,902,51.7817576,10.5057585,,,niedersachsen-260721
2383938510,Brand,,901,50.7098804,10.6557155,,,thueringen-260721
443242638,Entenbühl,,901,49.7578596,12.3980347,Q1344516,,bayern-260721
389908278,Greifenberg,,901,50.7133214,10.6747147,Q30666852,,thueringen-260721
9498853631,Huttenberg,,901,47.6729389,12.5004655,,,bayern-260721
3113167755,Leistenklippe,,901,51.7816617,10.6942223,Q31532032,,sachsen-anhalt-260721
1106670761,Schnalz,,901,47.7660414,10.9687771,,,bayern-260721
4576072245,Stutz,,901,47.7019759,8.1324527,,,baden-wuerttemberg
1378735198,Teufelstisch,,901,48.9326754,13.064643,Q2407268,de:Teufelstisch (Bayerischer Wald),bayern-260721
13460823339,,,901,48.2532967,9.0562393,,,baden-wuerttemberg
11352083890,,,901,47.6045969,9.9906022,Q132528981,,bayern-260721
816412004,Dietzen-Lorenz-Stein,,900,50.6598525,10.7328414,,,thueringen-260721
11472776856,,,900,47.5002824,9.8763924,,,bayern-260721
5537939876,Ellbogen,,899,50.4567017,12.6245977,Q31548160,,sachsen-260721
294938113,Großer Lugstein,,899,50.7325949,13.7440365,,,sachsen-260721
2686304899,Großer Rathberg,,899,48.656921,13.7444404,Q31543798,,bayern-260721
4104522073,Hüttenbichel,,899,47.6580017,11.0224595,,,bayern-260721
5038717749,Kleinhahnberg,,899,48.5850607,8.3470228,,,baden-wuerttemberg
6397237611,Kräherkapf,,899,48.198067,8.2761493,,,baden-wuerttemberg
853432063,Titusenköpfle,,899,48.3039531,9.1189579,Q31517343,,baden-wuerttemberg
11478543803,,,899,47.6761089,10.1291906,,,baden-wuerttemberg
12306643582,,,899,47.56498,10.67881,,,bayern-260721
